,Acquired Immunodeficiency Syndrome,Adenocarcinoma,Alzheimer Disease,"Arthritis, Rheumatoid",Astrocytoma,Atherosclerosis,Autistic Disorder,Beckwith-Wiedemann Syndrome,Bipolar Disorder,Breast Neoplasms,"Carcinoma, Basal Cell","Carcinoma, Hepatocellular","Carcinoma, Non-Small-Cell Lung","Carcinoma, Renal Cell","Carcinoma, Squamous Cell",Cardiomegaly,Cardiovascular Diseases,Choriocarcinoma,Colonic Neoplasms,Colorectal Neoplasms,Coronary Disease,"Depressive Disorder, Major",Diabetes Mellitus,"Diabetes Mellitus, Type 2",DiGeorge Syndrome,Down Syndrome,Endometrial Neoplasms,Esophageal Neoplasms,Fetal Alcohol Spectrum Disorders,Fragile X Syndrome,Gastrointestinal Stromal Tumors,Glioblastoma,Glioma,HIV Infections,Huntington Disease,Inflammatory Bowel Diseases,Intracranial Aneurysm,Kidney Neoplasms,Leukemia,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Myeloid, Acute","Leukemia, T-Cell",Lithiasis,Liver Neoplasms,Lung Neoplasms,Lymphoma,"Lymphoma, B-Cell",Melanoma,Meningioma,"Muscular Dystrophy, Duchenne",Myocardial Infarction,Nervous System Diseases,Neuroblastoma,Neurodegenerative Diseases,"Neurofibroma, Plexiform",Neurofibromatosis 1,Osteosarcoma,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Parotid Neoplasms,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Prostatic Hyperplasia,Prostatic Neoplasms,Pseudohypoaldosteronism,Psoriasis,Psychotic Disorders,Rhabdomyosarcoma,Schizophrenia,Stomach Neoplasms,Stroke,Thyroid Neoplasms,Tongue Neoplasms,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Uterine Neoplasms,Vascular Malformations,Wilms Tumor
Acquired Immunodeficiency Syndrome,1,0,0,0.049484536,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0.013035382,0,0,0,0,0,0,0,0,0.066666667,0,0.023622047,0,0,0,0,0.624266145,0,0,0,0.057208238,0,0.025575448,0,0.029339853,0,0,0,0.036613272,0.025706941,0,0,0,0,0,0,0,0,0,0,0.078610603,0,0,0,0,0,0,0.029339853,0.082191781,0.102974828,0.036144578,0,0,0,0,0,0,0,0,0.057208238,0.061784897,0.102974828,0,0.028142589
Adenocarcinoma,0,1,0,0,0.167286245,0,0,0,0,0.068493151,0.428571429,0.281437126,0.017828201,0.261627907,0.428571429,0,0,0.264423077,0.016835017,0.01754386,0,0,0,0,0,0,0.021126761,0.044444444,0,0,0.068181818,0.140115163,0.216783217,0,0,0,0,0.025316456,0.254237288,0.066666667,0.096774194,0.083333333,0,0.04109589,0.027027027,0.189873418,0.089552239,0.133757962,0.111111111,0,0,0,0.140115163,0,0.069343066,0.055035129,0.093167702,0.037558685,0.035294118,0,0.019354839,0.058823529,0.031847134,0,0.083333333,0,0.025316456,0,0,0,0.067669173,0,0.026315789,0,0.037037037,0.026315789,0.025316456,0.018987342,0.025316456,0,0.131067961
Alzheimer Disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038647343,0,0,0,0.09976247,0,0,0,0,0.353658537,0,0.13368984,0,0,0,0,0,0,0,0,0,0,0,0.040201005,0.047619048,0,0,0,0.15942029,0.045454545,0.102484472,0,0,0,0.329842932,0,0,0.127090301,0.032128514,0,0,0,0,0,0,0,0,0,0.195121951,0,0,0,0,0,0,0
"Arthritis, Rheumatoid",0.049484536,0,0,1,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054474708,0,0,0,0,0,0.102564103,0,0,0.063241107,0,0,0,0,0,0.046632124,0,0.04950495,0,0,0,0.055555556,0.046875,0,0,0.063926941,0,0,0,0,0,0.016574586,0.082191781,0,0,0,0,0,0,0,0.04950495,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0
Astrocytoma,0,0.167286245,0,0,1,0,0,0,0,0.060702875,0.149501661,0.098591549,0.013657056,0.084931507,0.149501661,0,0,0.180778032,0.012578616,0.013774105,0,0,0,0,0,0,0.016393443,0.039370079,0,0,0.056300268,0.431616341,0.478827362,0,0,0,0,0.020771513,0.221789883,0.051546392,0.078066914,0.067961165,0,0.03514377,0.022082019,0.169139466,0.07266436,0.259701493,0.195592287,0,0,0,0.261101243,0,0.094915254,0.063616071,0.078717201,0.033557047,0.030470914,0,0.01510574,0.15942029,0.027811366,0,0.067961165,0,0.020771513,0,0,0,0.052264808,0,0.021538462,0,0.031884058,0.021538462,0.020771513,0.014836795,0.020771513,0,0.11778291
Atherosclerosis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.068493151,0,0,0,0,0.138461538,0,0,0,0.020100503,0,0,0,0,0,0,0,0,0,0,0,0.150943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132352941,0,0,0,0,0,0.076923077,0
Autistic Disorder,0,0,0,0,0,0,1,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0
Beckwith-Wiedemann Syndrome,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366515837,0.517412935,0,0,0.078947368,0.26405868,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131147541,0,0,0,0,0,0.197452229,0,0,0,0,0,0,0,0.427983539,0,0,0,0.106508876,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0.105263158
Bipolar Disorder,0,0,0,0,0,0,0.066666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0
Breast Neoplasms,0,0.068493151,0,0.039215686,0.060702875,0,0,0,0,1,0.061728395,0.164021164,0.14893617,0.139175258,0.061728395,0,0,0.065217391,0.149560117,0.139896373,0,0,0,0,0,0,0.164634146,0.207920792,0,0,0.191919192,0.057471264,0.066666667,0,0,0,0,0.166666667,0.114285714,0.057324841,0.068493151,0.060240964,0,0.214285714,0.176470588,0.088888889,0.064102564,0.072625698,0.160621762,0,0,0,0.057471264,0,0.166666667,0.181528662,0.092896175,0.178723404,0.1875,0,0.152542373,0.056856187,0.16838488,0,0.060240964,0,0.166666667,0,0.166666667,0,0.058064516,0,0.172413793,0,0.195652174,0.172413793,0.166666667,0.15,0.166666667,0,0.171052632
"Carcinoma, Basal Cell",0,0.428571429,0,0,0.149501661,0,0,0,0,0.061728395,1,0.256830601,0.016152717,0.239361702,0.384615385,0,0,0.245535714,0.015197568,0.016042781,0,0,0,0,0,0,0.018987342,0.040816327,0,0,0.0625,0.124786325,0.194968553,0,0,0,0,0.022988506,0.223880597,0.059602649,0.085714286,0.075,0,0.037037037,0.024390244,0.172413793,0.08,0.121387283,0.101604278,0,0,0,0.124786325,0,0.062091503,0.051198257,0.084745763,0.034934498,0.032258065,0,0.01754386,0.052264808,0.029446408,0,0.075,0,0.022988506,0,0,0,0.060402685,0,0.023809524,0,0.033707865,0.023809524,0.022988506,0.017241379,0.022988506,0,0.121621622
"Carcinoma, Hepatocellular",0,0.281437126,0,0,0.098591549,0,0,0,0,0.164021164,0.256830601,1,0.046894804,0.325581395,0.256830601,0,0,0.294820717,0.122715405,0.130841121,0,0,0,0,0,0,0.054054054,0.219730942,0,0,0.196347032,0.076479076,0.139784946,0,0,0.044198895,0,0.064676617,0.180124224,0.04494382,0.065868263,0.058823529,0,0.417989418,0.068062827,0.144278607,0.062146893,0.1,0.112149533,0,0,0,0.076479076,0,0.075,0.059454191,0.068627451,0.09765625,0.258215962,0,0.050505051,0.038123167,0.082549634,0,0.058823529,0,0.064676617,0,0,0,0.045454545,0,0.18974359,0,0.092682927,0.066666667,0.064676617,0.049751244,0.064676617,0,0.128514056
"Carcinoma, Non-Small-Cell Lung",0,0.017828201,0,0,0.013657056,0,0,0,0,0.14893617,0.016152717,0.046894804,1,0.025957973,0.016152717,0,0,0.032528856,0.020979021,0.026086957,0,0,0,0,0,0,0.030478955,0.096313912,0,0,0.04,0.009345794,0.021645022,0,0,0,0,0.043824701,0.059021922,0.010590015,0.017828201,0.015781923,0,0.080851064,0.41654979,0.046480744,0.01674277,0.03070761,0.045962733,0,0,0,0.009345794,0,0.028400598,0.030769231,0.019607843,0.083247688,0.071161049,0,0.028340081,0.00792393,0.066225166,0,0.015781923,0,0.043824701,0,0,0,0.010719755,0,0.04526749,0,0.074122237,0.04526749,0.043824701,0.027888446,0.043824701,0,0.073015873
"Carcinoma, Renal Cell",0.032258065,0.261627907,0,0,0.084931507,0,0,0,0,0.139175258,0.239361702,0.325581395,0.025957973,1,0.239361702,0,0,0.296875,0.022900763,0.02739726,0,0,0,0,0,0,0.126315789,0.092105263,0.028089888,0,0.066964286,0.063113604,0.12565445,0.041152263,0,0,0,0.466019417,0.162650602,0.032786885,0.052325581,0.046875,0,0.077319588,0.045918367,0.131067961,0.049450549,0.087804878,0.091324201,0,0,0,0.063113604,0,0.051351351,0.043021033,0.057416268,0.195402299,0.068807339,0,0.02955665,0.025641026,0.064483112,0,0.046875,0.035294118,0.174757282,0.174358974,0,0,0.033149171,0,0.045,0,0.071428571,0.045,0.349514563,0.116504854,0.174757282,0,0.464566929
"Carcinoma, Squamous Cell",0,0.428571429,0,0,0.149501661,0,0,0,0,0.061728395,0.384615385,0.256830601,0.016152717,0.239361702,1,0,0,0.245535714,0.015197568,0.016042781,0,0,0,0,0,0,0.018987342,0.040816327,0,0,0.0625,0.124786325,0.194968553,0,0,0,0,0.022988506,0.223880597,0.059602649,0.085714286,0.075,0,0.037037037,0.024390244,0.172413793,0.08,0.121387283,0.101604278,0,0,0,0.124786325,0,0.062091503,0.051198257,0.084745763,0.034934498,0.032258065,0,0.01754386,0.052264808,0.029446408,0,0.075,0,0.022988506,0,0,0,0.060402685,0,0.023809524,0,0.033707865,0.023809524,0.022988506,0.017241379,0.022988506,0,0.121621622
Cardiomegaly,0,0,0,0,0,0.068493151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.236842105,0,0,0,0.135746606,0.024875622,0,0,0,0.02200489,0,0,0,0,0.020833333,0,0.077348066,0,0,0,0,0,0.085714286,0,0,0,0,0,0,0,0.236842105,0,0,0,0,0,0,0,0,0,0,0,0,0.020576132,0,0,0,0,0,0,0,0,0,0.075949367,0,0,0,0,0,0.105263158,0
Cardiovascular Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choriocarcinoma,0.013035382,0.264423077,0,0,0.180778032,0,0,0,0,0.065217391,0.245535714,0.294820717,0.032528856,0.296875,0.245535714,0,0,1,0.032258065,0.031372549,0,0,0,0,0,0,0.053097345,0.049242424,0.098130841,0,0.073076923,0.159859977,0.220264317,0.014336918,0,0,0,0.05785124,0.183168317,0.073059361,0.091346154,0.083333333,0,0.047826087,0.038793103,0.152892562,0.087155963,0.182572614,0.101960784,0,0,0,0.159859977,0,0.074660633,0.06302521,0.089795918,0.063973064,0.043307087,0,0.033472803,0.134751773,0.04014273,0,0.083333333,0,0.05785124,0.017316017,0,0,0.073732719,0,0.038135593,0,0.044715447,0.038135593,0.05785124,0.049586777,0.05785124,0,0.131034483
Colonic Neoplasms,0,0.016835017,0,0,0.012578616,0,0,0,0,0.149560117,0.015197568,0.122715405,0.020979021,0.022900763,0.015197568,0,0,0.032258065,1,0.590792839,0,0,0,0,0,0,0.027027027,0.315403423,0,0,0.261845387,0.008077544,0.020895522,0,0,0.215384615,0,0.04109589,0.059649123,0.009404389,0.016835017,0.014836795,0,0.237536657,0.043478261,0.046575342,0.015772871,0.03030303,0.043478261,0,0,0,0.008077544,0,0.024767802,0.028361345,0.018867925,0.082105263,0.208226221,0,0.025069638,0.006578947,0.064552661,0,0.014836795,0,0.04109589,0,0,0,0.00952381,0,0.297450425,0,0.072386059,0.042492918,0.04109589,0.024657534,0.04109589,0,0.071583514
Colorectal Neoplasms,0,0.01754386,0,0,0.013774105,0,0,0,0,0.139896373,0.016042781,0.130841121,0.026086957,0.02739726,0.016042781,0,0,0.031372549,0.590792839,1,0,0,0,0,0,0,0.031746032,0.330396476,0,0,0.282511211,0.009873061,0.021052632,0,0,0.227027027,0,0.043902439,0.054545455,0.010989011,0.01754386,0.015706806,0,0.233160622,0.046153846,0.043902439,0.016574586,0.029411765,0.04587156,0,0,0,0.009873061,0,0.029891304,0.031669866,0.019230769,0.080769231,0.207373272,0,0.02970297,0.008595989,0.064748201,0,0.015706806,0,0.043902439,0,0,0,0.011111111,0,0.316582915,0,0.071770335,0.045226131,0.043902439,0.029268293,0.043902439,0,0.071146245
Coronary Disease,0,0,0,0,0,0.138461538,0,0,0,0,0,0,0,0,0,0.236842105,0,0,0,0,1,0,0,0,0.087804878,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169014085,0,0,0,0,0,0.088235294,0
"Depressive Disorder, Major",0,0,0,0,0,0,0.066666667,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0
Diabetes Mellitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.452054795,0.084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123348018,0.130434783,0,0,0,0.114149822,0.025531915,0,0,0,0.111801242,0,0,0,0,0,0,0.136363636,0,0,0,0,0,0
"Diabetes Mellitus, Type 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452054795,1,0.048309179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090497738,0.08988764,0,0,0,0.078335373,0.017467249,0,0,0,0.077419355,0,0,0,0,0,0,0.094117647,0,0,0,0,0,0
DiGeorge Syndrome,0,0,0,0.054474708,0,0.020100503,0,0.366515837,0,0,0,0,0,0,0,0.135746606,0,0,0,0,0.087804878,0,0.084507042,0.048309179,1,0.318897638,0,0,0.053658537,0.151456311,0,0,0,0,0.064846416,0,0.034188034,0,0,0.042857143,0,0.054794521,0,0,0,0.077253219,0.043062201,0,0,0.097457627,0.087804878,0,0,0,0,0.109185442,0,0.048611111,0.040816327,0,0,0,0.036866359,0.273648649,0.054794521,0,0,0.058558559,0,0,0,0,0,0.028436019,0.042194093,0,0,0,0,0.248780488,0.067615658
Down Syndrome,0,0,0.038647343,0,0,0,0,0.517412935,0,0,0,0,0,0,0,0.024875622,0,0,0,0,0,0,0,0,0.318897638,1,0,0,0.064864865,0.444210526,0,0,0,0,0.172161172,0,0.014018692,0,0,0,0,0,0.052023121,0,0,0,0,0,0.017699115,0.134259259,0,0,0,0.109090909,0.018229167,0.205772812,0,0,0,0.059633028,0,0,0.013930348,0.615942029,0,0,0,0.089108911,0,0,0,0,0,0.020942408,0,0,0,0,0,0.12972973,0.091954023
Endometrial Neoplasms,0.066666667,0.021126761,0,0,0.016393443,0,0,0,0,0.164634146,0.018987342,0.054054054,0.030478955,0.126315789,0.018987342,0,0,0.053097345,0.027027027,0.031746032,0,0,0,0,0,0,1,0.106060606,0.033783784,0,0.046391753,0.011804384,0.02484472,0.084507042,0,0,0,0.204545455,0.066176471,0.013071895,0.021126761,0.018518519,0,0.091463415,0.054216867,0.051136364,0.019736842,0.034285714,0.052910053,0,0,0,0.011804384,0,0.035483871,0.035637149,0.022346369,0.359307359,0.079787234,0,0.034682081,0.010309278,0.073512252,0,0.018518519,0.042857143,0.204545455,0.060606061,0,0,0.013245033,0,0.052941176,0,0.083333333,0.052941176,0.204545455,0.545454545,0.545454545,0,0.160714286
Esophageal Neoplasms,0,0.044444444,0,0,0.039370079,0,0,0,0,0.207920792,0.040816327,0.219730942,0.096313912,0.092105263,0.040816327,0,0,0.049242424,0.315403423,0.330396476,0,0,0,0,0,0,0.106060606,1,0,0,0.413793103,0.036241611,0.045226131,0,0,0.12371134,0,0.112149533,0.08045977,0.036649215,0.044444444,0.04,0,0.326732673,0.117647059,0.065420561,0.042105263,0.051643192,0.110132159,0,0,0,0.036241611,0,0.106217617,0.086270872,0.041474654,0.133828996,0.292035398,0,0.194312796,0.035422343,0.121902874,0,0.04,0,0.112149533,0,0,0,0.037037037,0,0.461538462,0,0.28440367,0.230769231,0.112149533,0.098130841,0.112149533,0,0.125954198
Fetal Alcohol Spectrum Disorders,0.023622047,0,0,0,0,0,0,0.078947368,0,0,0,0,0,0.028089888,0,0,0,0.098130841,0,0,0,0,0,0,0.053658537,0.064864865,0.033783784,0,1,0.053050398,0,0,0,0.024875622,0.053571429,0,0,0.036585366,0,0,0,0,0,0,0,0,0,0,0,0.071856287,0,0,0,0,0,0.047835991,0,0.03196347,0,0,0,0,0,0.052863436,0,0,0.036585366,0.098039216,0,0,0,0,0,0,0,0,0.036585366,0.030487805,0.036585366,0.088235294,0.080188679
Fragile X Syndrome,0,0,0.09976247,0,0,0,0,0.26405868,0,0,0,0,0,0,0,0.02200489,0,0,0,0,0,0,0,0,0.151456311,0.444210526,0,0,0.053050398,1,0,0,0,0,0.269439421,0,0.018390805,0,0,0,0,0,0.04815864,0,0,0,0,0,0.021786492,0.218678815,0,0,0,0.112759644,0.023017903,0.192095588,0,0,0,0.153498871,0,0,0.017664377,0.37745975,0,0,0,0.058394161,0,0,0,0,0,0.025706941,0,0,0,0,0,0.095490716,0.06805293
Gastrointestinal Stromal Tumors,0,0.068181818,0,0.102564103,0.056300268,0,0,0,0,0.191919192,0.0625,0.196347032,0.04,0.066964286,0.0625,0,0,0.073076923,0.261845387,0.282511211,0,0,0,0,0,0,0.046391753,0.413793103,0,0,1,0.04526749,0.076923077,0,0,0.126315789,0,0.057142857,0.176470588,0.048128342,0.068181818,0.06122449,0,0.272727273,0.06,0.142857143,0.064516129,0.100478469,0.112107623,0,0,0,0.04526749,0,0.076719577,0.078154426,0.361502347,0.090566038,0.243243243,0,0.043478261,0.04178273,0.075528701,0,0.06122449,0,0.057142857,0,0.045977011,0,0.113513514,0,0.411764706,0,0.08411215,0.058823529,0.057142857,0.042857143,0.057142857,0,0.127906977
Glioblastoma,0,0.140115163,0,0,0.431616341,0,0,0,0,0.057471264,0.124786325,0.076479076,0.009345794,0.063113604,0.124786325,0,0,0.159859977,0.008077544,0.009873061,0,0,0,0,0,0,0.011804384,0.036241611,0,0,0.04526749,1,0.41038526,0,0,0,0,0.01674277,0.211267606,0.037168142,0.063339731,0.054908486,0,0.031198686,0.017828201,0.159817352,0.058823529,0.228177642,0.181946403,0,0,0,0.179487179,0,0.07504363,0.050056883,0.067264574,0.030786773,0.026950355,0,0.010852713,0.117757009,0.024691358,0,0.054908486,0,0.01674277,0,0,0,0.037701975,0,0.017377567,0,0.028231798,0.017377567,0.01674277,0.01065449,0.01674277,0,0.109540636
Glioma,0,0.216783217,0,0,0.478827362,0,0,0,0,0.066666667,0.194968553,0.139784946,0.021645022,0.12565445,0.194968553,0,0,0.220264317,0.020895522,0.021052632,0,0,0,0,0,0,0.02484472,0.045226131,0,0,0.076923077,0.41038526,1,0,0,0,0,0.028248588,0.240875912,0.077922078,0.104895105,0.09202454,0,0.042424242,0.02994012,0.186440678,0.098039216,0.318181818,0.221052632,0,0,0,0.41038526,0,0.131410256,0.089247312,0.1,0.038793103,0.037037037,0,0.022988506,0.235494881,0.033681765,0,0.09202454,0,0.028248588,0,0,0,0.078947368,0,0.029239766,0,0.038674033,0.029239766,0.028248588,0.02259887,0.028248588,0,0.133333333
HIV Infections,0.624266145,0,0,0.063241107,0,0,0,0,0,0,0,0,0,0.041152263,0,0,0,0.014336918,0,0,0,0,0,0,0,0,0.084507042,0,0.024875622,0,0,0,0,1,0,0,0,0.065502183,0,0.04368932,0,0.046511628,0,0,0,0.052401747,0.043902439,0,0,0,0,0,0,0,0,0,0,0.091549296,0,0,0,0,0,0,0.046511628,0.093264249,0.11790393,0.04587156,0,0,0,0,0,0,0,0,0.065502183,0.07860262,0.11790393,0,0.036101083
Huntington Disease,0,0,0.353658537,0,0,0,0,0.1,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0.064846416,0.172161172,0,0,0.053571429,0.269439421,0,0,0,0,1,0,0.110671937,0,0,0,0,0,0.04245283,0,0,0,0,0,0.033962264,0.133333333,0,0,0,0.112745098,0.036796537,0.225203252,0,0,0,0.39688716,0,0,0.108527132,0.149206349,0,0,0,0.074688797,0,0,0,0,0,0.152173913,0,0,0,0,0,0.035714286,0.08
Inflammatory Bowel Diseases,0,0,0,0,0,0,0,0,0,0,0,0.044198895,0,0,0,0,0,0,0.215384615,0.227027027,0,0,0,0,0,0,0,0.12371134,0,0,0.126315789,0,0,0,0,1,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144578313,0,0,0,0,0,0,0,0
Intracranial Aneurysm,0,0,0.13368984,0,0,0.150943396,0,0,0,0,0,0,0,0,0,0.077348066,0,0,0,0,0.181818182,0,0,0,0.034188034,0.014018692,0,0,0,0.018390805,0,0,0,0,0.110671937,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014563107,0.020408163,0.181818182,0,0,0.117241379,0.014534884,0.031187123,0,0,0,0.141414141,0,0,0.075675676,0.01171875,0,0,0,0,0,0,0,0,0,0.438596491,0,0,0,0,0,0.084848485,0
Kidney Neoplasms,0.057208238,0.025316456,0,0,0.020771513,0,0,0,0,0.166666667,0.022988506,0.064676617,0.043824701,0.466019417,0.022988506,0,0,0.05785124,0.04109589,0.043902439,0,0,0,0,0,0,0.204545455,0.112149533,0.036585366,0,0.057142857,0.01674277,0.028248588,0.065502183,0,0,0,1,0.065789474,0.017751479,0.025316456,0.02247191,0,0.1,0.065934066,0.052083333,0.023809524,0.036649215,0.063414634,0,0,0,0.01674277,0,0.049707602,0.045454545,0.025641026,0.255060729,0.088235294,0,0.047619048,0.015479876,0.081433225,0,0.02247191,0.051282051,0.25,0.281767956,0,0,0.017964072,0,0.064516129,0,0.091836735,0.064516129,0.5,0.1875,0.25,0,0.45
Leukemia,0,0.254237288,0,0,0.221789883,0,0,0,0,0.114285714,0.223880597,0.180124224,0.059021922,0.162650602,0.223880597,0,0,0.183168317,0.059649123,0.054545455,0,0,0,0,0,0,0.066176471,0.08045977,0,0,0.176470588,0.211267606,0.240875912,0,0,0,0,0.065789474,1,0.209302326,0.254237288,0.217391304,0,0.085714286,0.070422535,0.315789474,0.234375,0.258278146,0.224242424,0,0,0,0.211267606,0,0.209923664,0.143373494,0.212903226,0.06763285,0.073170732,0,0.060402685,0.209876543,0.064388962,0,0.217391304,0,0.065789474,0,0,0,0.212598425,0,0.068493151,0,0.076923077,0.068493151,0.065789474,0.059210526,0.065789474,0,0.225
"Leukemia, Lymphocytic, Chronic, B-Cell",0.025575448,0.066666667,0,0.046632124,0.051546392,0,0,0,0,0.057324841,0.059602649,0.04494382,0.010590015,0.032786885,0.059602649,0,0,0.073059361,0.009404389,0.010989011,0,0,0,0,0.042857143,0,0.013071895,0.036649215,0,0,0.048128342,0.037168142,0.077922078,0.04368932,0,0,0,0.017751479,0.209302326,1,0.155555556,0.483870968,0,0.031847134,0.018867925,0.455621302,0.2,0.107142857,0.087912088,0,0,0,0.037168142,0,0.043918919,0.038975501,0.069767442,0.03125,0.027624309,0,0.012048193,0.032490975,0.025331725,0,0.483870968,0,0.017751479,0,0,0,0.041666667,0,0.018404908,0,0.028901734,0.018404908,0.017751479,0.01183432,0.017751479,0,0.110599078
"Leukemia, Myeloid, Acute",0,0.096774194,0,0,0.078066914,0,0,0,0,0.068493151,0.085714286,0.065868263,0.017828201,0.052325581,0.085714286,0,0,0.091346154,0.016835017,0.01754386,0,0,0,0,0,0,0.021126761,0.044444444,0,0,0.068181818,0.063339731,0.104895105,0,0,0,0,0.025316456,0.254237288,0.155555556,1,0.194444444,0,0.04109589,0.027027027,0.189873418,0.089552239,0.133757962,0.111111111,0,0,0,0.063339731,0,0.069343066,0.055035129,0.093167702,0.037558685,0.035294118,0,0.019354839,0.058823529,0.031847134,0,0.194444444,0,0.025316456,0,0,0,0.067669173,0,0.026315789,0,0.037037037,0.026315789,0.025316456,0.018987342,0.025316456,0,0.131067961
