,7sk,h19,bace1as,bc200,terra,anril,disc2,igf2as,kcnq1ot1,ahif,bc1,cdkn1c-as,gas5,hotair,l1pa16,lincrna-p21,lsinct5,malat1,meg3,ncrna-ccnd1,NEAT-1  ,p53 mrna,pr antisense,sra,uc.160+,uc.346+,uc283+a,uca1,wt1-as,xist,zfas1,mer11c,htr2a-as1(antisense hTR),hulc,uc.338,heih,tp53tg1,hy1,hy3,ptenp1,uc.73a,ba318c17.1,dj974n19.1,uc.159,uc.21,uc.283+a,uc.72,e2f4 antisense,dgcr5,nron,fmr1-as1(ASFMR1),fmr1-as1,anti-nos2a,har1a(har1f),har1b(har1r),mir155hg,spry4-it1,linc-md1,miat,evf2,21a,DeltaMYCN,gtl2-as,mycnos,ncran,ndm29,uc.279,uc.347,uc.350,uc.364,uc.379,uc.446,uc.460,six3os,tsix,bc040587,loc285194,NEAT-1,pink1-as(naPINK1),ipw,cbr3-as1(PlncRNA-1),mdm2-as,pca3,pcat1,pcgem1,prncr1,pvt1,nespas,prins,ncrms,disc1,dlg2as,ndm29(29a),tie-1as,air
7sk,1,0.204279955,0,0.079745816,0.109117382,0.080133729,0,0,0.176509204,0.088840032,0.09408319,0.068965517,0.099826882,0.204561378,0.079375788,0.068834901,0.102428758,0.136142218,0.071406604,0.068965517,0.068965517,0.257312437,0.068965517,0.112637408,0.11293601,0.11293601,0.11293601,0.250722047,0.112271424,0.097899417,0.068965517,0.079375788,0.075897436,0.135072207,0.135072207,0.075897436,0.11898017,0.121147234,0.121147234,0.145455797,0.11898017,0.126633166,0.126633166,0.12435332,0.12435332,0.126633166,0.12435332,0.126633166,0.054298643,0.056484645,0.019563845,0.008801956,0.024671806,0.008333333,0.008333333,0.026271799,0.015135135,0,0.094736842,0,0.047459134,0.006951027,0.039597941,0.006951027,0.045017717,0.006951027,0.006951027,0.006951027,0.006951027,0.006951027,0.006951027,0.006951027,0.006951027,0,0,0.010582011,0.010582011,0.073866005,0,0.008230453,0.080659764,0.080659764,0.080659764,0.080659764,0.080659764,0.080659764,0.080659764,0.02557754,0,0.007453416,0,0,0.053475447,0.042105263,0.04874617
h19,0.204279955,1,0,0.410468505,0.28984412,0.362113818,0,0.110803324,0.488126017,0.270709672,0.326400119,0.220425021,0.260275157,0.455100486,0.368021706,0.300580241,0.316314257,0.637577274,0.229477241,0.220425021,0.220425021,0.712146348,0.220425021,0.329332431,0.361729625,0.361729625,0.361729625,0.603754284,0.352826102,0.299152085,0.220425021,0.368021706,0.234011816,0.332998584,0.332998584,0.234011816,0.213391867,0.475587877,0.475587877,0.289520748,0.213391867,0.215408026,0.215408026,0.223220534,0.223220534,0.215408026,0.223220534,0.215408026,0.047564903,0.109185356,0.045180218,0.031377384,0.19963259,0.014736842,0.014736842,0.042732293,0.097634349,0.022367761,0,0,0.226673598,0.090658133,0.248679516,0.090658133,0.238176868,0.090658133,0.090658133,0.090658133,0.090658133,0.090658133,0.090658133,0.090658133,0.090658133,0,0,0.057595673,0.057595673,0.204071456,0,0.049219737,0.101827466,0.101827466,0.101827466,0.101827466,0.101827466,0.101827466,0.101827466,0.045192865,0.019883041,0.040735242,0,0,0.174123093,0.018606596,0.220606238
bace1as,0,0,1,0.25,0,0.033593638,0,0,0,0,0.049881235,0,0,0,0,0,0,0,0.084726867,0,0,0,0,0,0,0,0,0,0,0.063768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025764895,0.066508314,0.09976247,0.02680067,0.353658537,0.353658537,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15942029,0.15942029,0,0,0,0.329842932,0.032128514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc200,0.079745816,0.410468505,0.25,1,0.063512899,0.261832837,0,0,0.300085602,0.355449801,0.503698408,0.35376877,0.306688626,0.307907078,0.338493274,0.517075508,0.53749546,0.493263313,0.373189985,0.35376877,0.35376877,0.441410222,0.35376877,0.523317044,0.271292548,0.271292548,0.271292548,0.344928118,0.324243987,0.491941859,0.35376877,0.338493274,0.082585546,0.121962432,0.121962432,0.082585546,0.064615481,0.426592802,0.426592802,0.219957321,0.064615481,0.063864152,0.063864152,0.063137562,0.063137562,0.063864152,0.063137562,0.063864152,0.012152778,0.008588298,0.032659965,0.024940618,0.082816486,0.088414634,0.088414634,0.025881878,0.041225903,0.011904762,0,0,0.297009703,0.025305284,0.111949603,0.025305284,0.122203181,0.025305284,0.025305284,0.025305284,0.025305284,0.025305284,0.025305284,0.025305284,0.025305284,0.039855072,0.039855072,0.03957757,0.03957757,0.350209031,0.082460733,0.008032129,0.130294671,0.130294671,0.130294671,0.130294671,0.130294671,0.130294671,0.130294671,0.025973874,0.041666667,0.026196694,0,0,0.326952008,0,0.125646073
terra,0.109117382,0.28984412,0,0.063512899,1,0.109855173,0,0,0.421832621,0.096099515,0.08425297,0.113498541,0.139206019,0.385106099,0.159353968,0.096662367,0.105316213,0.263708906,0.101310956,0.113498541,0.113498541,0.323315545,0.113498541,0.084844955,0.318830626,0.318830626,0.318830626,0.195858082,0.144712609,0.077527882,0.113498541,0.159353968,0.120091264,0.173938479,0.173938479,0.120091264,0.398054765,0.176349644,0.176349644,0.255601132,0.398054765,0.671258035,0.671258035,0.525773196,0.525773196,0.671258035,0.525773196,0.671258035,0,0.113513514,0,0,0.276174132,0,0,0.038027265,0.18293825,0,0,0,0.145184768,0.177358516,0.174110386,0.177358516,0.152501841,0.177358516,0.177358516,0.177358516,0.177358516,0.177358516,0.177358516,0.177358516,0.177358516,0,0,0.058888391,0.058888391,0.065031836,0,0,0.03619213,0.03619213,0.03619213,0.03619213,0.03619213,0.03619213,0.03619213,0,0,0.038546909,0,0,0.024457794,0,0.102237355
anril,0.080133729,0.362113818,0.033593638,0.261832837,0.109855173,1,0,0.019745223,0.167966644,0.200890786,0.19065885,0.165101992,0.391943785,0.257093665,0.298137019,0.244074726,0.187987355,0.384905361,0.183630126,0.165101992,0.165101992,0.276613622,0.165101992,0.258377118,0.369098001,0.369098001,0.369098001,0.268988268,0.293539864,0.265434655,0.165101992,0.298137019,0.077707679,0.093198063,0.093198063,0.077707679,0.031781824,0.293118306,0.293118306,0.1424418,0.031781824,0.031480797,0.031480797,0.098757776,0.098757776,0.031480797,0.098757776,0.031480797,0.028825553,0.02213028,0.027253026,0.022565341,0.130584917,0.037502445,0.037502445,0.088592877,0.169962453,0.023235162,0.077405867,0,0.113823875,0.086856791,0.170861491,0.086856791,0.195759598,0.086856791,0.086856791,0.086856791,0.086856791,0.086856791,0.086856791,0.086856791,0.086856791,0.033431743,0.033431743,0.06111054,0.06111054,0.084227699,0.038097091,0.022136009,0.138961351,0.138961351,0.138961351,0.138961351,0.138961351,0.138961351,0.138961351,0.031375926,0.019858156,0.049821034,0,0,0.049687664,0.024668211,0.12076201
disc2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456486043,0.456486043,0,0,0
igf2as,0,0.110803324,0,0,0,0.019745223,0,1,0.4,0,0.13202934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366515837,0.344941957,0.202354909,0.26405868,0,0.1,0.1,0,0,0.131147541,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427983539,0,0,0,0,0,0,0,0.106508876,0,0,0,0,0,0.157894737,0.105263158
kcnq1ot1,0.176509204,0.488126017,0,0.300085602,0.421832621,0.167966644,0,0.4,1,0.419080639,0.436379704,0.469563433,0.336126314,0.579331535,0.350115016,0.420714626,0.421090095,0.369406442,0.419367007,0.469563433,0.469563433,0.495339316,0.469563433,0.357484238,0.419198822,0.419198822,0.419198822,0.415521541,0.392031626,0.336650905,0.469563433,0.350115016,0.146864834,0.220107104,0.220107104,0.146864834,0.329309844,0.249993028,0.249993028,0.284993797,0.329309844,0.49405857,0.49405857,0.421269615,0.421269615,0.49405857,0.421269615,0.49405857,0.146606335,0.268765211,0.101177455,0.105623472,0.089119751,0.04,0.04,0.032457581,0.045261271,0.052459016,0,0,0.080811733,0.03221144,0.108399474,0.03221144,0.091142762,0.03221144,0.03221144,0.03221144,0.03221144,0.03221144,0.03221144,0.03221144,0.03221144,0,0,0.049299555,0.049299555,0.114409007,0,0.171193416,0.097877061,0.097877061,0.097877061,0.097877061,0.097877061,0.097877061,0.097877061,0.04260355,0.066666667,0.032855436,0,0,0.085479827,0.063157895,0.128893773
ahif,0.088840032,0.270709672,0,0.355449801,0.096099515,0.200890786,0,0,0.419080639,1,0.502024291,0.722222222,0.445754446,0.427976676,0.42537495,0.585784314,0.627530364,0.274061944,0.583762887,0.722222222,0.722222222,0.327195235,0.722222222,0.50168691,0.370289584,0.370289584,0.370289584,0.326257497,0.525998858,0.460020243,0.722222222,0.42537495,0.130906315,0.173148148,0.173148148,0.130906315,0.113405375,0.430000162,0.430000162,0.204154448,0.113405375,0.107898395,0.107898395,0.095255006,0.095255006,0.107898395,0.095255006,0.107898395,0,0,0.018292683,0,0.110532355,0,0,0.04413372,0.060633537,0,0,0,0.145617816,0.0438951,0.237076017,0.0438951,0.306034483,0.0438951,0.0438951,0.0438951,0.0438951,0.0438951,0.0438951,0.0438951,0.0438951,0,0,0.070477792,0.070477792,0.229614954,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.187845304,0.111111111,0.044697701,0,0,0.175,0,0.357017544
bc1,0.09408319,0.326400119,0.049881235,0.503698408,0.08425297,0.19065885,0,0.13202934,0.436379704,0.502024291,1,0.544680851,0.383521162,0.375744773,0.366329491,0.471038798,0.8,0.365391832,0.519571438,0.544680851,0.544680851,0.397105537,0.544680851,0.669751301,0.325510478,0.325510478,0.325510478,0.294122758,0.426187148,0.64008286,0.544680851,0.366329491,0.106424645,0.144050433,0.144050433,0.106424645,0.095306374,0.215527584,0.215527584,0.214983705,0.095306374,0.090140494,0.090140494,0.083577364,0.083577364,0.090140494,0.083577364,0.090140494,0.087880933,0.177684211,0.417002774,0.5,0.099331025,0.134719711,0.134719711,0.03647492,0.047491711,0.109339408,0,0,0.175907208,0.036432325,0.130091943,0.036432325,0.146851878,0.036432325,0.036432325,0.036432325,0.036432325,0.036432325,0.036432325,0.036432325,0.036432325,0.056379822,0.056379822,0.055448087,0.055448087,0.544680851,0.076749436,0.188729875,0.169197031,0.169197031,0.169197031,0.169197031,0.169197031,0.169197031,0.169197031,0.052734133,0.083333333,0.036915141,0,0,0.205516194,0.047745358,0.166556051
cdkn1c-as,0.068965517,0.220425021,0,0.35376877,0.113498541,0.165101992,0,0,0.469563433,0.722222222,0.544680851,1,0.468238669,0.443750566,0.477116607,0.725490196,0.726241135,0.256628426,0.72279496,1,1,0.276998784,1,0.502411348,0.404226736,0.404226736,0.404226736,0.260350208,0.485409156,0.469078014,1,0.477116607,0.164021164,0.197530864,0.197530864,0.164021164,0.149560117,0.164643042,0.164643042,0.161881899,0.149560117,0.139896373,0.139896373,0.112372529,0.112372529,0.139896373,0.112372529,0.139896373,0,0,0,0,0.126238263,0,0,0.057324841,0.072625698,0,0,0,0.119157088,0.057471264,0.114108179,0.057471264,0.130268199,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0,0,0.092896175,0.092896175,0.178723404,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.058064516,0,0,0.15,0,0.171052632
gas5,0.099826882,0.260275157,0,0.306688626,0.139206019,0.391943785,0,0,0.336126314,0.445754446,0.383521162,0.468238669,1,0.528143167,0.391365927,0.419610656,0.447441356,0.387506242,0.418263037,0.468238669,0.468238669,0.373062055,0.468238669,0.584948426,0.620637876,0.620637876,0.620637876,0.292958811,0.414427378,0.553698426,0.468238669,0.391365927,0.129553952,0.157940568,0.157940568,0.129553952,0.082940409,0.328423335,0.328423335,0.372774374,0.082940409,0.078789489,0.078789489,0.250123241,0.250123241,0.078789489,0.250123241,0.078789489,0.021917808,0,0.012195122,0,0.163877548,0,0,0.250424116,0.148895054,0,0,0,0.16707395,0.110331546,0.194523687,0.110331546,0.190685061,0.110331546,0.110331546,0.110331546,0.110331546,0.110331546,0.110331546,0.110331546,0.110331546,0,0,0.125443316,0.125443316,0.158162495,0,0,0.45098561,0.45098561,0.45098561,0.45098561,0.45098561,0.45098561,0.45098561,0.033149171,0.066666667,0.112009794,0,0,0.120212892,0,0.188104332
hotair,0.204561378,0.455100486,0,0.307907078,0.385106099,0.257093665,0,0,0.579331535,0.427976676,0.375744773,0.443750566,0.528143167,1,0.528036079,0.405567712,0.429422598,0.555301823,0.404412611,0.443750566,0.443750566,0.618751465,0.443750566,0.555655273,0.421510325,0.421510325,0.421510325,0.413813571,0.381726843,0.527877495,0.443750566,0.528036079,0.425980989,0.462594718,0.462594718,0.425980989,0.292800413,0.418780695,0.418780695,0.492169824,0.292800413,0.432858524,0.432858524,0.379210855,0.379210855,0.432858524,0.379210855,0.432858524,0,0.089224106,0.010452962,0,0.104466564,0,0,0.039410389,0.073273936,0,0,0,0.107499134,0.047052123,0.128994397,0.047052123,0.131524302,0.047052123,0.047052123,0.047052123,0.047052123,0.047052123,0.047052123,0.047052123,0.047052123,0,0,0.154900019,0.154900019,0.159639397,0,0,0.38873143,0.38873143,0.38873143,0.38873143,0.38873143,0.38873143,0.38873143,0.027624309,0.063218391,0.059936879,0,0,0.10781278,0,0.149769985
l1pa16,0.079375788,0.368021706,0,0.338493274,0.159353968,0.298137019,0,0,0.350115016,0.42537495,0.366329491,0.477116607,0.391365927,0.528036079,1,0.511624407,0.427384406,0.563332143,0.425661319,0.477116607,0.477116607,0.385179062,0.477116607,0.362204971,0.549009682,0.549009682,0.549009682,0.295193161,0.390100788,0.341371638,0.477116607,1,0.462183194,0.468854366,0.468854366,0.462183194,0.094623538,0.197051972,0.197051972,0.121530988,0.094623538,0.093226518,0.093226518,0.10850109,0.10850109,0.093226518,0.10850109,0.093226518,0,0.014732965,0,0,0.169583317,0,0,0.065428878,0.440666662,0,0,0,0.143453801,0.119930284,0.225078736,0.119930284,0.151665399,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0,0,0.08571083,0.08571083,0.116613239,0,0,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0,0.066666667,0.066221257,0,0,0.081810661,0,0.138852561
lincrna-p21,0.068834901,0.300580241,0,0.517075508,0.096662367,0.244074726,0,0,0.420714626,0.585784314,0.471038798,0.725490196,0.419610656,0.405567712,0.511624407,1,0.588798498,0.371285589,0.586213867,0.725490196,0.725490196,0.270296904,0.725490196,0.448087888,0.371690144,0.371690144,0.371690144,0.254758233,0.433919395,0.42031011,0.725490196,0.511624407,0.132035052,0.174618736,0.174618736,0.132035052,0.114199498,0.372003838,0.372003838,0.142692333,0.114199498,0.108648864,0.108648864,0.095817858,0.095817858,0.108648864,0.095817858,0.108648864,0,0,0,0,0.111345364,0,0,0.044505869,0.061308477,0,0,0,0.101730453,0.04425691,0.109547413,0.04425691,0.114184666,0.04425691,0.04425691,0.04425691,0.04425691,0.04425691,0.04425691,0.04425691,0.04425691,0,0,0.070939792,0.070939792,0.15290421,0,0,0.133089133,0.133089133,0.133089133,0.133089133,0.133089133,0.133089133,0.133089133,0,0.111111111,0.045079104,0,0,0.116483516,0,0.14446987
lsinct5,0.102428758,0.316314257,0,0.53749546,0.105316213,0.187987355,0,0,0.421090095,0.627530364,0.8,0.726241135,0.447441356,0.429422598,0.427384406,0.588798498,1,0.388228822,0.645048203,0.726241135,0.726241135,0.42357924,0.726241135,0.781376518,0.372011975,0.372011975,0.372011975,0.30730979,0.485876184,0.709176788,0.726241135,0.427384406,0.141899526,0.180063042,0.180063042,0.141899526,0.127075166,0.242468532,0.242468532,0.257980446,0.127075166,0.120187326,0.120187326,0.104471704,0.104471704,0.120187326,0.104471704,0.120187326,0.032407407,0,0.015981735,0,0.118717158,0,0,0.048633227,0.063322281,0,0,0,0.21988401,0.048576434,0.142499745,0.048576434,0.183564847,0.048576434,0.048576434,0.048576434,0.048576434,0.048576434,0.048576434,0.048576434,0.048576434,0,0,0.073930783,0.073930783,0.726241135,0,0,0.225596041,0.225596041,0.225596041,0.225596041,0.225596041,0.225596041,0.225596041,0.050847458,0.111111111,0.049220188,0,0,0.274021592,0,0.199390425
malat1,0.136142218,0.637577274,0,0.493263313,0.263708906,0.384905361,0,0,0.369406442,0.274061944,0.365391832,0.256628426,0.387506242,0.555301823,0.563332143,0.371285589,0.388228822,1,0.265680988,0.256628426,0.256628426,0.662289299,0.256628426,0.538187203,0.496565998,0.496565998,0.496565998,0.49631441,0.297128337,0.442033357,0.256628426,0.563332143,0.231060762,0.345083455,0.345083455,0.231060762,0.227211355,0.548601891,0.548601891,0.429431932,0.227211355,0.228042238,0.228042238,0.244317822,0.244317822,0.228042238,0.244317822,0.228042238,0.009352295,0.049289848,0.010762961,0,0.114415273,0,0,0.053791027,0.190357007,0,0,0,0.359475675,0.171480107,0.27240557,0.171480107,0.251407842,0.171480107,0.171480107,0.171480107,0.171480107,0.171480107,0.171480107,0.171480107,0.171480107,0,0,0.052980665,0.052980665,0.259139693,0,0,0.219724175,0.219724175,0.219724175,0.219724175,0.219724175,0.219724175,0.219724175,0.025342573,0.022222222,0.038878821,0,0,0.233187136,0,0.139154974
meg3,0.071406604,0.229477241,0.084726867,0.373189985,0.101310956,0.183630126,0,0,0.419367007,0.583762887,0.519571438,0.72279496,0.418263037,0.404412611,0.425661319,0.586213867,0.645048203,0.265680988,1,0.72279496,0.72279496,0.293498345,0.72279496,0.485587691,0.370535043,0.370535043,0.370535043,0.27887944,0.47336083,0.473813571,0.72279496,0.425661319,0.136863987,0.176498664,0.176498664,0.136863987,0.121224299,0.154703978,0.154703978,0.145792164,0.121224299,0.114846983,0.114846983,0.100466447,0.100466447,0.114846983,0.100466447,0.114846983,0.024577573,0.006965174,0.008832188,0.011776251,0.133990105,0.072351421,0.072351421,0.046660469,0.061866787,0.012861736,0,0,0.106468793,0.046544629,0.111232635,0.046544629,0.118059456,0.046544629,0.046544629,0.046544629,0.046544629,0.046544629,0.046544629,0.046544629,0.046544629,0.064014632,0.064014632,0.072291626,0.072291626,0.252972073,0.089266738,0.007956806,0.138255519,0.138255519,0.138255519,0.138255519,0.138255519,0.138255519,0.138255519,0,0.111111111,0.047235865,0,0,0.122801303,0,0.147278574
ncrna-ccnd1,0.068965517,0.220425021,0,0.35376877,0.113498541,0.165101992,0,0,0.469563433,0.722222222,0.544680851,1,0.468238669,0.443750566,0.477116607,0.725490196,0.726241135,0.256628426,0.72279496,1,1,0.276998784,1,0.502411348,0.404226736,0.404226736,0.404226736,0.260350208,0.485409156,0.469078014,1,0.477116607,0.164021164,0.197530864,0.197530864,0.164021164,0.149560117,0.164643042,0.164643042,0.161881899,0.149560117,0.139896373,0.139896373,0.112372529,0.112372529,0.139896373,0.112372529,0.139896373,0,0,0,0,0.126238263,0,0,0.057324841,0.072625698,0,0,0,0.119157088,0.057471264,0.114108179,0.057471264,0.130268199,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0,0,0.092896175,0.092896175,0.178723404,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.058064516,0,0,0.15,0,0.171052632
NEAT-1  ,0.068965517,0.220425021,0,0.35376877,0.113498541,0.165101992,0,0,0.469563433,0.722222222,0.544680851,1,0.468238669,0.443750566,0.477116607,0.725490196,0.726241135,0.256628426,0.72279496,1,1,0.276998784,1,0.502411348,0.404226736,0.404226736,0.404226736,0.260350208,0.485409156,0.469078014,1,0.477116607,0.164021164,0.197530864,0.197530864,0.164021164,0.149560117,0.164643042,0.164643042,0.161881899,0.149560117,0.139896373,0.139896373,0.112372529,0.112372529,0.139896373,0.112372529,0.139896373,0,0,0,0,0.126238263,0,0,0.057324841,0.072625698,0,0,0,0.119157088,0.057471264,0.114108179,0.057471264,0.130268199,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0,0,0.092896175,0.092896175,0.178723404,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.058064516,0,0,0.15,0,0.171052632
