,7sk,h19,bace1as,bc200,terra,anril,disc2,igf2as,kcnq1ot1,ahif,bc1,cdkn1c-as,gas5,hotair,l1pa16,lincrna-p21,lsinct5,malat1,meg3,ncrna-ccnd1,NEAT-1  ,p53 mrna,pr antisense,sra,uc.160+,uc.346+,uc283+a,uca1,wt1-as,xist,zfas1,mer11c,htr2a-as1(antisense hTR),hulc,uc.338,heih,tp53tg1,hy1,hy3,ptenp1,uc.73a,ba318c17.1,dj974n19.1,uc.159,uc.21,uc.283+a,uc.72,e2f4 antisense,dgcr5,nron,fmr1-as1(ASFMR1),fmr1-as1,anti-nos2a,har1a(har1f),har1b(har1r),mir155hg,spry4-it1,linc-md1,miat,evf2,21a,DeltaMYCN,gtl2-as,mycnos,ncran,ndm29,uc.279,uc.347,uc.350,uc.364,uc.379,uc.446,uc.460,six3os,tsix,bc040587,loc285194,NEAT-1,pink1-as(naPINK1),ipw,cbr3-as1(PlncRNA-1),mdm2-as,pca3,pcat1,pcgem1,prncr1,pvt1,nespas,prins,ncrms,disc1,dlg2as,ndm29(29a),tie-1as,air
p53 mrna,0.257312437,0.712146348,0,0.441410222,0.323315545,0.276613622,0,0,0.495339316,0.327195235,0.397105537,0.276998784,0.373062055,0.618751465,0.385179062,0.270296904,0.42357924,0.662289299,0.293498345,0.276998784,0.276998784,1,0.276998784,0.529070424,0.402339566,0.402339566,0.402339566,0.696288179,0.422175426,0.476389875,0.276998784,0.385179062,0.268104773,0.327971114,0.327971114,0.268104773,0.277858032,0.529915685,0.529915685,0.549844808,0.277858032,0.281345665,0.281345665,0.268589924,0.268589924,0.281345665,0.268589924,0.281345665,0.009859896,0.069809641,0.013166379,0,0.210644476,0,0,0.029037718,0.075527189,0,0,0,0.269661227,0.051753347,0.180954745,0.051753347,0.16987698,0.051753347,0.051753347,0.051753347,0.051753347,0.051753347,0.051753347,0.051753347,0.051753347,0,0,0.044531833,0.044531833,0.297561434,0,0,0.244274915,0.244274915,0.244274915,0.244274915,0.244274915,0.244274915,0.244274915,0.044551196,0.023809524,0.029384991,0,0,0.262133621,0,0.180577514
pr antisense,0.068965517,0.220425021,0,0.35376877,0.113498541,0.165101992,0,0,0.469563433,0.722222222,0.544680851,1,0.468238669,0.443750566,0.477116607,0.725490196,0.726241135,0.256628426,0.72279496,1,1,0.276998784,1,0.502411348,0.404226736,0.404226736,0.404226736,0.260350208,0.485409156,0.469078014,1,0.477116607,0.164021164,0.197530864,0.197530864,0.164021164,0.149560117,0.164643042,0.164643042,0.161881899,0.149560117,0.139896373,0.139896373,0.112372529,0.112372529,0.139896373,0.112372529,0.139896373,0,0,0,0,0.126238263,0,0,0.057324841,0.072625698,0,0,0,0.119157088,0.057471264,0.114108179,0.057471264,0.130268199,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0,0,0.092896175,0.092896175,0.178723404,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.058064516,0,0,0.15,0,0.171052632
sra,0.112637408,0.329332431,0,0.523317044,0.084844955,0.258377118,0,0,0.357484238,0.50168691,0.669751301,0.502411348,0.584948426,0.555655273,0.362204971,0.448087888,0.781376518,0.538187203,0.485587691,0.502411348,0.502411348,0.529070424,0.502411348,1,0.326379684,0.326379684,0.326379684,0.350214617,0.414407138,0.804149798,0.502411348,0.362204971,0.111010362,0.153375361,0.153375361,0.111010362,0.092683456,0.434865514,0.434865514,0.538063319,0.092683456,0.089673371,0.089673371,0.084281949,0.084281949,0.089673371,0.084281949,0.089673371,0.019444444,0,0.023619928,0,0.100282984,0,0,0.036280528,0.052653055,0,0,0,0.288500609,0.035842968,0.15892839,0.035842968,0.205709898,0.035842968,0.035842968,0.035842968,0.035842968,0.035842968,0.035842968,0.035842968,0.035842968,0,0,0.05461488,0.05461488,0.573396503,0,0,0.534345479,0.534345479,0.534345479,0.534345479,0.534345479,0.534345479,0.534345479,0.064977994,0.066666667,0.036717742,0,0,0.334706478,0,0.199634255
uc.160+,0.11293601,0.361729625,0,0.271292548,0.318830626,0.369098001,0,0,0.419198822,0.370289584,0.325510478,0.404226736,0.620637876,0.421510325,0.549009682,0.371690144,0.372011975,0.496565998,0.370535043,0.404226736,0.404226736,0.402339566,0.404226736,0.326379684,1,1,1,0.359730469,0.387825339,0.307861166,0.404226736,0.549009682,0.148543937,0.184840869,0.184840869,0.148543937,0.381014602,0.287907527,0.287907527,0.331609562,0.381014602,0.241556952,0.241556952,0.36416712,0.36416712,0.241556952,0.36416712,0.241556952,0.025751073,0.061538462,0,0,0.186799447,0,0,0.215736169,0.427565893,0,0,0,0.164585396,0.148831508,0.239006513,0.148831508,0.171695638,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0,0,0.138418777,0.138418777,0.101430089,0,0,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0,0.055555556,0.12714926,0,0,0.077026112,0,0.17179396
uc.346+,0.11293601,0.361729625,0,0.271292548,0.318830626,0.369098001,0,0,0.419198822,0.370289584,0.325510478,0.404226736,0.620637876,0.421510325,0.549009682,0.371690144,0.372011975,0.496565998,0.370535043,0.404226736,0.404226736,0.402339566,0.404226736,0.326379684,1,1,1,0.359730469,0.387825339,0.307861166,0.404226736,0.549009682,0.148543937,0.184840869,0.184840869,0.148543937,0.381014602,0.287907527,0.287907527,0.331609562,0.381014602,0.241556952,0.241556952,0.36416712,0.36416712,0.241556952,0.36416712,0.241556952,0.025751073,0.061538462,0,0,0.186799447,0,0,0.215736169,0.427565893,0,0,0,0.164585396,0.148831508,0.239006513,0.148831508,0.171695638,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0,0,0.138418777,0.138418777,0.101430089,0,0,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0,0.055555556,0.12714926,0,0,0.077026112,0,0.17179396
uc283+a,0.11293601,0.361729625,0,0.271292548,0.318830626,0.369098001,0,0,0.419198822,0.370289584,0.325510478,0.404226736,0.620637876,0.421510325,0.549009682,0.371690144,0.372011975,0.496565998,0.370535043,0.404226736,0.404226736,0.402339566,0.404226736,0.326379684,1,1,1,0.359730469,0.387825339,0.307861166,0.404226736,0.549009682,0.148543937,0.184840869,0.184840869,0.148543937,0.381014602,0.287907527,0.287907527,0.331609562,0.381014602,0.241556952,0.241556952,0.36416712,0.36416712,0.241556952,0.36416712,0.241556952,0.025751073,0.061538462,0,0,0.186799447,0,0,0.215736169,0.427565893,0,0,0,0.164585396,0.148831508,0.239006513,0.148831508,0.171695638,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0.148831508,0,0,0.138418777,0.138418777,0.101430089,0,0,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0.088158541,0,0.055555556,0.12714926,0,0,0.077026112,0,0.17179396
uca1,0.250722047,0.603754284,0,0.344928118,0.195858082,0.268988268,0,0,0.415521541,0.326257497,0.294122758,0.260350208,0.292958811,0.413813571,0.295193161,0.254758233,0.30730979,0.49631441,0.27887944,0.260350208,0.260350208,0.696288179,0.260350208,0.350214617,0.359730469,0.359730469,0.359730469,1,0.421177898,0.311157699,0.260350208,0.295193161,0.18428062,0.31853796,0.31853796,0.18428062,0.241743904,0.485088972,0.485088972,0.348357733,0.241743904,0.185526889,0.185526889,0.180395239,0.180395239,0.185526889,0.180395239,0.185526889,0.008943179,0.062888168,0.01520438,0.006879806,0.084678989,0.00606469,0.00606469,0.027981037,0.05227287,0,0,0,0.209773858,0.038973739,0.159970503,0.038973739,0.233491301,0.038973739,0.038973739,0.038973739,0.038973739,0.038973739,0.038973739,0.038973739,0.038973739,0,0,0.040582107,0.040582107,0.175755346,0,0.005980066,0.144121054,0.144121054,0.144121054,0.144121054,0.144121054,0.144121054,0.144121054,0.042465511,0.023809524,0.028327454,0,0,0.208162614,0,0.169622916
wt1-as,0.112271424,0.352826102,0,0.324243987,0.144712609,0.293539864,0,0.042105263,0.392031626,0.525998858,0.426187148,0.485409156,0.414427378,0.381726843,0.390100788,0.433919395,0.485876184,0.297128337,0.47336083,0.485409156,0.485409156,0.422175426,0.485409156,0.414407138,0.387825339,0.387825339,0.387825339,0.421177898,1,0.389407138,0.485409156,0.390100788,0.174967082,0.236147333,0.236147333,0.174967082,0.130886218,0.239642065,0.239642065,0.167581387,0.130886218,0.128666604,0.128666604,0.162725518,0.162725518,0.128666604,0.162725518,0.128666604,0.035209529,0.052390471,0.038071715,0.027221172,0.12994175,0.032,0.032,0.101331868,0.110394773,0.039506173,0,0,0.116068297,0.073368524,0.375171808,0.073368524,0.187963721,0.073368524,0.073368524,0.073368524,0.073368524,0.073368524,0.073368524,0.073368524,0.073368524,0,0,0.093358776,0.093358776,0.212609209,0,0.031683168,0.136043683,0.136043683,0.136043683,0.136043683,0.136043683,0.136043683,0.136043683,0.090829694,0.066666667,0.075384493,0,0,0.108503351,0.01509434,0.48185269
xist,0.097899417,0.299152085,0.063768116,0.491941859,0.077527882,0.265434655,0,0,0.336650905,0.460020243,0.64008286,0.469078014,0.553698426,0.527877495,0.341371638,0.42031011,0.709176788,0.442033357,0.473813571,0.469078014,0.469078014,0.476389875,0.469078014,0.804149798,0.307861166,0.307861166,0.307861166,0.311157699,0.389407138,1,0.469078014,0.341371638,0.098075039,0.136708695,0.136708695,0.098075039,0.084464278,0.368468753,0.368468753,0.433548786,0.084464278,0.080892883,0.080892883,0.076964876,0.076964876,0.080892883,0.076964876,0.080892883,0.019444444,0.036363636,0.055108915,0.045103858,0.108822158,0.045098039,0.045098039,0.032730232,0.045323212,0.05170068,0,0,0.17783934,0.032494414,0.130356961,0.032494414,0.164043231,0.032494414,0.032494414,0.032494414,0.032494414,0.032494414,0.032494414,0.032494414,0.032494414,0.4,0.4,0.049486675,0.049486675,0.486756827,0.072483221,0.034782609,0.484345479,0.484345479,0.484345479,0.484345479,0.484345479,0.484345479,0.484345479,0.048403409,0.066666667,0.033124927,0,0,0.201912955,0,0.159634255
zfas1,0.068965517,0.220425021,0,0.35376877,0.113498541,0.165101992,0,0,0.469563433,0.722222222,0.544680851,1,0.468238669,0.443750566,0.477116607,0.725490196,0.726241135,0.256628426,0.72279496,1,1,0.276998784,1,0.502411348,0.404226736,0.404226736,0.404226736,0.260350208,0.485409156,0.469078014,1,0.477116607,0.164021164,0.197530864,0.197530864,0.164021164,0.149560117,0.164643042,0.164643042,0.161881899,0.149560117,0.139896373,0.139896373,0.112372529,0.112372529,0.139896373,0.112372529,0.139896373,0,0,0,0,0.126238263,0,0,0.057324841,0.072625698,0,0,0,0.119157088,0.057471264,0.114108179,0.057471264,0.130268199,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0.057471264,0,0,0.092896175,0.092896175,0.178723404,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.058064516,0,0,0.15,0,0.171052632
mer11c,0.079375788,0.368021706,0,0.338493274,0.159353968,0.298137019,0,0,0.350115016,0.42537495,0.366329491,0.477116607,0.391365927,0.528036079,1,0.511624407,0.427384406,0.563332143,0.425661319,0.477116607,0.477116607,0.385179062,0.477116607,0.362204971,0.549009682,0.549009682,0.549009682,0.295193161,0.390100788,0.341371638,0.477116607,1,0.462183194,0.468854366,0.468854366,0.462183194,0.094623538,0.197051972,0.197051972,0.121530988,0.094623538,0.093226518,0.093226518,0.10850109,0.10850109,0.093226518,0.10850109,0.093226518,0,0.014732965,0,0,0.169583317,0,0,0.065428878,0.440666662,0,0,0,0.143453801,0.119930284,0.225078736,0.119930284,0.151665399,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0.119930284,0,0,0.08571083,0.08571083,0.116613239,0,0,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0.095696773,0,0.066666667,0.066221257,0,0,0.081810661,0,0.138852561
htr2a-as1(antisense hTR),0.075897436,0.234011816,0,0.082585546,0.120091264,0.077707679,0,0,0.146864834,0.130906315,0.106424645,0.164021164,0.129553952,0.425980989,0.462183194,0.132035052,0.141899526,0.231060762,0.136863987,0.164021164,0.164021164,0.268104773,0.164021164,0.111010362,0.148543937,0.148543937,0.148543937,0.18428062,0.174967082,0.098075039,0.164021164,0.462183194,1,0.805996473,0.805996473,1,0.122715405,0.079610676,0.079610676,0.09104037,0.122715405,0.130841121,0.130841121,0.102208688,0.102208688,0.130841121,0.102208688,0.130841121,0,0.02946593,0,0,0.100259381,0,0,0.04494382,0.1,0,0,0,0.067569799,0.076479076,0.092907589,0.076479076,0.072544923,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0,0,0.068627451,0.068627451,0.09765625,0,0,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0,0,0.045454545,0,0,0.049751244,0,0.128514056
hulc,0.135072207,0.332998584,0,0.121962432,0.173938479,0.093198063,0,0,0.220107104,0.173148148,0.144050433,0.197530864,0.157940568,0.462594718,0.468854366,0.174618736,0.180063042,0.345083455,0.176498664,0.197530864,0.197530864,0.327971114,0.197530864,0.153375361,0.184840869,0.184840869,0.184840869,0.31853796,0.236147333,0.136708695,0.197530864,0.468854366,0.805996473,1,1,0.805996473,0.199262906,0.135875551,0.135875551,0.157850427,0.199262906,0.199054122,0.199054122,0.160526546,0.160526546,0.199054122,0.160526546,0.199054122,0,0.048549724,0,0,0.099805934,0,0,0.040578258,0.083426443,0,0,0,0.079906205,0.061385613,0.098010282,0.061385613,0.088239538,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0,0,0.058502089,0.058502089,0.117658466,0,0,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0,0,0.041055718,0,0,0.072139303,0,0.125149722
uc.338,0.135072207,0.332998584,0,0.121962432,0.173938479,0.093198063,0,0,0.220107104,0.173148148,0.144050433,0.197530864,0.157940568,0.462594718,0.468854366,0.174618736,0.180063042,0.345083455,0.176498664,0.197530864,0.197530864,0.327971114,0.197530864,0.153375361,0.184840869,0.184840869,0.184840869,0.31853796,0.236147333,0.136708695,0.197530864,0.468854366,0.805996473,1,1,0.805996473,0.199262906,0.135875551,0.135875551,0.157850427,0.199262906,0.199054122,0.199054122,0.160526546,0.160526546,0.199054122,0.160526546,0.199054122,0,0.048549724,0,0,0.099805934,0,0,0.040578258,0.083426443,0,0,0,0.079906205,0.061385613,0.098010282,0.061385613,0.088239538,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0.061385613,0,0,0.058502089,0.058502089,0.117658466,0,0,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0.088225539,0,0,0.041055718,0,0,0.072139303,0,0.125149722
heih,0.075897436,0.234011816,0,0.082585546,0.120091264,0.077707679,0,0,0.146864834,0.130906315,0.106424645,0.164021164,0.129553952,0.425980989,0.462183194,0.132035052,0.141899526,0.231060762,0.136863987,0.164021164,0.164021164,0.268104773,0.164021164,0.111010362,0.148543937,0.148543937,0.148543937,0.18428062,0.174967082,0.098075039,0.164021164,0.462183194,1,0.805996473,0.805996473,1,0.122715405,0.079610676,0.079610676,0.09104037,0.122715405,0.130841121,0.130841121,0.102208688,0.102208688,0.130841121,0.102208688,0.130841121,0,0.02946593,0,0,0.100259381,0,0,0.04494382,0.1,0,0,0,0.067569799,0.076479076,0.092907589,0.076479076,0.072544923,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0.076479076,0,0,0.068627451,0.068627451,0.09765625,0,0,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0.064676617,0,0,0.045454545,0,0,0.049751244,0,0.128514056
tp53tg1,0.11898017,0.213391867,0,0.064615481,0.398054765,0.031781824,0,0,0.329309844,0.113405375,0.095306374,0.149560117,0.082940409,0.292800413,0.094623538,0.114199498,0.127075166,0.227211355,0.121224299,0.149560117,0.149560117,0.277858032,0.149560117,0.092683456,0.381014602,0.381014602,0.381014602,0.241743904,0.130886218,0.084464278,0.149560117,0.094623538,0.122715405,0.199262906,0.199262906,0.122715405,1,0.313060495,0.313060495,0.517030729,1,0.590792839,0.590792839,0.396996689,0.396996689,0.590792839,0.396996689,0.590792839,0,0.143589744,0,0,0.031678022,0,0,0.009404389,0.03030303,0,0,0,0.019130871,0.008077544,0.03945588,0.008077544,0.030089775,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0,0,0.018867925,0.018867925,0.082105263,0,0,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0,0,0.00952381,0,0,0.024657534,0,0.071583514
hy1,0.121147234,0.475587877,0,0.426592802,0.176349644,0.293118306,0,0,0.249993028,0.430000162,0.215527584,0.164643042,0.328423335,0.418780695,0.197051972,0.372003838,0.242468532,0.548601891,0.154703978,0.164643042,0.164643042,0.529915685,0.164643042,0.434865514,0.287907527,0.287907527,0.287907527,0.485088972,0.239642065,0.368468753,0.164643042,0.197051972,0.079610676,0.135875551,0.135875551,0.079610676,0.313060495,1,1,0.628538129,0.313060495,0.198387876,0.198387876,0.175947882,0.175947882,0.198387876,0.175947882,0.198387876,0,0.053846154,0.022103659,0,0.054208023,0,0,0.016032714,0.035573193,0,0,0,0.331804536,0.01494525,0.199690857,0.01494525,0.38279477,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0,0,0.024336839,0.024336839,0.231516864,0,0,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.121546961,0,0.016229805,0,0,0.376658298,0,0.251841123
hy3,0.121147234,0.475587877,0,0.426592802,0.176349644,0.293118306,0,0,0.249993028,0.430000162,0.215527584,0.164643042,0.328423335,0.418780695,0.197051972,0.372003838,0.242468532,0.548601891,0.154703978,0.164643042,0.164643042,0.529915685,0.164643042,0.434865514,0.287907527,0.287907527,0.287907527,0.485088972,0.239642065,0.368468753,0.164643042,0.197051972,0.079610676,0.135875551,0.135875551,0.079610676,0.313060495,1,1,0.628538129,0.313060495,0.198387876,0.198387876,0.175947882,0.175947882,0.198387876,0.175947882,0.198387876,0,0.053846154,0.022103659,0,0.054208023,0,0,0.016032714,0.035573193,0,0,0,0.331804536,0.01494525,0.199690857,0.01494525,0.38279477,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0.01494525,0,0,0.024336839,0.024336839,0.231516864,0,0,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.399218565,0.121546961,0,0.016229805,0,0,0.376658298,0,0.251841123
ptenp1,0.145455797,0.289520748,0,0.219957321,0.255601132,0.1424418,0,0,0.284993797,0.204154448,0.214983705,0.161881899,0.372774374,0.492169824,0.121530988,0.142692333,0.257980446,0.429431932,0.145792164,0.161881899,0.161881899,0.549844808,0.161881899,0.538063319,0.331609562,0.331609562,0.331609562,0.348357733,0.167581387,0.433548786,0.161881899,0.121530988,0.09104037,0.157850427,0.157850427,0.09104037,0.517030729,0.628538129,0.628538129,1,0.517030729,0.314308537,0.314308537,0.254997126,0.254997126,0.314308537,0.254997126,0.314308537,0,0.086153846,0.021390903,0,0.04799207,0,0,0.014494811,0.034471793,0,0,0,0.263961879,0.013341867,0.110753408,0.013341867,0.152476823,0.013341867,0.013341867,0.013341867,0.013341867,0.013341867,0.013341867,0.013341867,0.013341867,0,0,0.023124086,0.023124086,0.263945178,0,0,0.561410336,0.561410336,0.561410336,0.561410336,0.561410336,0.561410336,0.561410336,0.056587979,0,0.014674247,0,0,0.325766656,0,0.15807445
uc.73a,0.11898017,0.213391867,0,0.064615481,0.398054765,0.031781824,0,0,0.329309844,0.113405375,0.095306374,0.149560117,0.082940409,0.292800413,0.094623538,0.114199498,0.127075166,0.227211355,0.121224299,0.149560117,0.149560117,0.277858032,0.149560117,0.092683456,0.381014602,0.381014602,0.381014602,0.241743904,0.130886218,0.084464278,0.149560117,0.094623538,0.122715405,0.199262906,0.199262906,0.122715405,1,0.313060495,0.313060495,0.517030729,1,0.590792839,0.590792839,0.396996689,0.396996689,0.590792839,0.396996689,0.590792839,0,0.143589744,0,0,0.031678022,0,0,0.009404389,0.03030303,0,0,0,0.019130871,0.008077544,0.03945588,0.008077544,0.030089775,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0.008077544,0,0,0.018867925,0.018867925,0.082105263,0,0,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0.04109589,0,0,0.00952381,0,0,0.024657534,0,0.071583514
